Player,FG_proj,FGA_proj,XPT_proj,FPTS_proj,Team_proj,Week,Year,Position_proj,Rank,FG_actual,FGA_actual,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT_actual,XPA,G,FPTS_actual,FPTS/G,ROST,Team_actual,Position_actual
Jason Myers,2.0,2.3,2.6,8.6,SEA,1,2021,K,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,4.0,4.0,3.6%,SEA,K
Harrison Butker,1.8,2.0,3.1,8.4,KC,1,2021,K,12.0,2.0,2.0,100.0,43.0,0.0,1.0,0.0,1.0,0.0,3.0,3.0,1.0,10.0,10.0,72.1%,KC,K
Younghoe Koo,2.0,2.3,2.4,8.4,ATL,1,2021,K,22.0,2.0,2.0,100.0,27.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,22.8%,ATL,K
Daniel Carlson,2.0,2.3,2.2,8.1,LV,1,2021,K,8.0,2.0,2.0,100.0,55.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,1.0,11.0,11.0,12.8%,LV,K
Brandon McManus,2.0,2.4,2.1,8.1,GB,1,2021,K,13.0,2.0,2.0,100.0,36.0,0.0,1.0,1.0,0.0,0.0,3.0,3.0,1.0,9.0,9.0,5.2%,GB,K
Tyler Bass,1.7,2.1,2.7,7.9,BUF,1,2021,K,7.0,3.0,3.0,100.0,42.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,11.0,11.0,57.5%,BUF,K
Ka'imi Fairbairn,2.0,2.3,1.9,7.9,HOU,1,2021,K,,,,,,,,,,,,,,,,,,
Matt Gay,1.8,2.2,2.5,7.8,WAS,1,2021,K,4.0,2.0,2.0,100.0,53.0,0.0,1.0,0.0,0.0,1.0,4.0,4.0,1.0,12.0,12.0,15.8%,WAS,K
Evan McPherson,1.7,2.1,2.1,7.3,CIN,1,2021,K,9.0,2.0,2.0,100.0,53.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,1.0,11.0,11.0,43.8%,CIN,K
Graham Gano,1.8,2.0,1.8,7.1,NYG,1,2021,K,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0%,NYG,K
Dustin Hopkins,1.6,1.9,2.2,7.0,CLE,1,2021,K,3.0,3.0,4.0,75.0,48.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,12.0,12.0,0.8%,CLE,K
Jake Elliott,1.7,2.0,2.0,7.0,PHI,1,2021,K,20.0,1.0,1.0,100.0,43.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,1.0,7.0,7.0,60.5%,PHI,K
Cairo Santos,1.6,1.9,2.0,6.9,CHI,1,2021,K,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,12.2%,CHI,K
Joey Slye,1.6,1.9,2.0,6.9,TEN,1,2021,K,1.0,3.0,3.0,100.0,40.0,0.0,2.0,0.0,1.0,0.0,4.0,4.0,1.0,14.0,14.0,0.8%,TEN,K
Chase McLaughlin,1.5,1.7,2.4,6.8,TB,1,2021,K,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,3.0,3.0,81.7%,TB,K
Nick Folk,1.5,1.8,2.2,6.8,NYJ,1,2021,K,11.0,3.0,3.0,100.0,42.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,11.0,11.0,0.9%,NYJ,K
Jason Sanders,1.6,1.8,1.9,6.6,MIA,1,2021,K,23.0,1.0,1.0,100.0,48.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,6.0,6.0,42.0%,MIA,K
Chris Boswell,1.5,1.7,2.2,6.5,PIT,1,2021,K,6.0,3.0,3.0,100.0,45.0,0.0,2.0,0.0,1.0,0.0,2.0,2.0,1.0,12.0,12.0,81.1%,PIT,K
Jason Myers,1.8,2.1,3.2,8.6,SEA,2,2021,K,21.0,1.0,1.0,100.0,31.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,1.0,6.0,6.0,3.6%,SEA,K
Tyler Bass,1.9,2.3,2.7,8.5,BUF,2,2021,K,24.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,5.0,5.0,57.5%,BUF,K
Chase McLaughlin,1.8,2.1,3.0,8.4,TB,2,2021,K,17.0,1.0,1.0,100.0,30.0,0.0,0.0,1.0,0.0,0.0,4.0,4.0,1.0,7.0,7.0,81.7%,TB,K
Chris Boswell,1.9,2.1,2.7,8.3,PIT,2,2021,K,16.0,1.0,1.0,100.0,56.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,7.0,7.0,81.1%,PIT,K
Harrison Butker,1.9,2.2,2.6,8.3,KC,2,2021,K,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,5.0,5.0,72.1%,KC,K
Matt Gay,1.8,2.2,2.4,7.9,WAS,2,2021,K,13.0,2.0,2.0,100.0,38.0,0.0,0.0,2.0,0.0,0.0,3.0,3.0,1.0,9.0,9.0,15.8%,WAS,K
Cairo Santos,1.8,2.2,2.4,7.9,CHI,2,2021,K,14.0,2.0,2.0,100.0,28.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,8.0,8.0,12.2%,CHI,K
Jason Sanders,1.9,2.2,2.1,7.7,MIA,2,2021,K,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,42.0%,MIA,K
Brandon McManus,1.6,1.9,2.8,7.5,GB,2,2021,K,6.0,3.0,3.0,100.0,46.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,1.0,13.0,13.0,5.2%,GB,K
Daniel Carlson,1.7,2.0,2.1,7.1,LV,2,2021,K,2.0,4.0,4.0,100.0,46.0,0.0,0.0,1.0,3.0,0.0,2.0,2.0,1.0,17.0,17.0,12.8%,LV,K
Nick Folk,1.6,1.9,2.3,7.1,NYJ,2,2021,K,4.0,4.0,4.0,100.0,49.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,1.0,15.0,15.0,0.9%,NYJ,K
Evan McPherson,1.7,2.0,2.0,7.1,CIN,2,2021,K,15.0,1.0,1.0,100.0,53.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,7.0,7.0,43.8%,CIN,K
Dustin Hopkins,1.6,2.0,2.1,6.9,CLE,2,2021,K,5.0,3.0,3.0,100.0,49.0,0.0,0.0,1.0,2.0,0.0,3.0,3.0,1.0,14.0,14.0,0.8%,CLE,K
Graham Gano,1.7,2.0,1.7,6.8,NYG,2,2021,K,1.0,5.0,5.0,100.0,55.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,22.0,22.0,1.0%,NYG,K
Younghoe Koo,1.6,1.9,1.9,6.8,ATL,2,2021,K,27.0,1.0,1.0,100.0,36.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,5.0,5.0,22.8%,ATL,K
Jake Elliott,1.5,1.8,2.1,6.7,PHI,2,2021,K,28.0,1.0,2.0,50.0,45.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,4.0,60.5%,PHI,K
Joey Slye,1.5,1.8,1.8,6.4,TEN,2,2021,K,29.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,3.0,3.0,0.8%,TEN,K
