Player,FG,FGA,XPT,FPTS,Team,Week,Year,Position
Jason Myers,2.0,2.3,2.6,8.6,SEA,1,2021,k
Harrison Butker,1.8,2.0,3.1,8.4,KC,1,2021,k
Younghoe Koo,2.0,2.3,2.4,8.4,ATL,1,2021,k
Daniel Carlson,2.0,2.3,2.2,8.1,LV,1,2021,k
Brandon McManus,2.0,2.4,2.1,8.1,GB,1,2021,k
Tyler Bass,1.7,2.1,2.7,7.9,BUF,1,2021,k
Ka'imi Fairbairn,2.0,2.3,1.9,7.9,HOU,1,2021,k
Matt Gay,1.8,2.2,2.5,7.8,WAS,1,2021,k
Evan McPherson,1.7,2.1,2.1,7.3,CIN,1,2021,k
Graham Gano,1.8,2.0,1.8,7.1,NYG,1,2021,k
Dustin Hopkins,1.6,1.9,2.2,7.0,CLE,1,2021,k
Jake Elliott,1.7,2.0,2.0,7.0,PHI,1,2021,k
Cairo Santos,1.6,1.9,2.0,6.9,CHI,1,2021,k
Joey Slye,1.6,1.9,2.0,6.9,TEN,1,2021,k
Chase McLaughlin,1.5,1.7,2.4,6.8,TB,1,2021,k
Nick Folk,1.5,1.8,2.2,6.8,NYJ,1,2021,k
Jason Sanders,1.6,1.8,1.9,6.6,MIA,1,2021,k
Chris Boswell,1.5,1.7,2.2,6.5,PIT,1,2021,k
Jason Myers,1.8,2.1,3.2,8.6,SEA,2,2021,k
Tyler Bass,1.9,2.3,2.7,8.5,BUF,2,2021,k
Chase McLaughlin,1.8,2.1,3.0,8.4,TB,2,2021,k
Chris Boswell,1.9,2.1,2.7,8.3,PIT,2,2021,k
Harrison Butker,1.9,2.2,2.6,8.3,KC,2,2021,k
Matt Gay,1.8,2.2,2.4,7.9,WAS,2,2021,k
Cairo Santos,1.8,2.2,2.4,7.9,CHI,2,2021,k
Jason Sanders,1.9,2.2,2.1,7.7,MIA,2,2021,k
Brandon McManus,1.6,1.9,2.8,7.5,GB,2,2021,k
Daniel Carlson,1.7,2.0,2.1,7.1,LV,2,2021,k
Nick Folk,1.6,1.9,2.3,7.1,NYJ,2,2021,k
Evan McPherson,1.7,2.0,2.0,7.1,CIN,2,2021,k
Dustin Hopkins,1.6,2.0,2.1,6.9,CLE,2,2021,k
Graham Gano,1.7,2.0,1.7,6.8,NYG,2,2021,k
Younghoe Koo,1.6,1.9,1.9,6.8,ATL,2,2021,k
Jake Elliott,1.5,1.8,2.1,6.7,PHI,2,2021,k
Joey Slye,1.5,1.8,1.8,6.4,TEN,2,2021,k
Harrison Butker,2.1,2.5,3.0,9.3,KC,3,2021,k
Brandon McManus,1.9,2.3,2.5,8.3,GB,3,2021,k
Daniel Carlson,1.9,2.2,2.6,8.2,LV,3,2021,k
Graham Gano,1.9,2.1,2.2,7.8,NYG,3,2021,k
Jason Myers,1.6,1.9,2.9,7.8,SEA,3,2021,k
Matt Gay,1.7,2.0,2.7,7.8,WAS,3,2021,k
Chase McLaughlin,1.7,2.0,2.5,7.7,TB,3,2021,k
Younghoe Koo,1.8,2.1,2.2,7.7,ATL,3,2021,k
Tyler Bass,1.7,2.1,2.6,7.6,BUF,3,2021,k
Chris Boswell,1.6,1.8,2.4,7.3,PIT,3,2021,k
Nick Folk,1.7,1.9,2.1,7.1,NYJ,3,2021,k
Evan McPherson,1.6,2.0,1.8,6.7,CIN,3,2021,k
Jake Elliott,1.5,1.8,2.1,6.7,PHI,3,2021,k
Jason Sanders,1.6,1.8,2.0,6.7,MIA,3,2021,k
Dustin Hopkins,1.7,1.9,1.7,6.7,CLE,3,2021,k
Joey Slye,1.6,1.9,1.8,6.6,TEN,3,2021,k
Cairo Santos,1.5,1.7,2.0,6.4,CHI,3,2021,k
Tyler Bass,1.8,2.2,3.1,8.6,BUF,4,2021,k
Harrison Butker,1.7,1.9,3.0,8.2,KC,4,2021,k
Matt Gay,1.7,2.0,2.9,8.1,WAS,4,2021,k
Jason Myers,1.8,2.1,2.7,8.1,SEA,4,2021,k
Daniel Carlson,1.8,2.2,2.5,8.0,LV,4,2021,k
Younghoe Koo,1.8,2.1,2.2,7.6,ATL,4,2021,k
Brandon McManus,1.7,2.0,2.3,7.4,GB,4,2021,k
Chase McLaughlin,1.6,1.8,2.6,7.2,TB,4,2021,k
Cairo Santos,1.6,1.8,2.3,7.1,CHI,4,2021,k
Dustin Hopkins,1.6,1.9,2.3,7.1,CLE,4,2021,k
Nick Folk,1.8,2.0,1.7,7.0,NYJ,4,2021,k
Evan McPherson,1.5,1.7,2.6,7.0,CIN,4,2021,k
Chris Boswell,1.6,1.9,1.9,6.9,PIT,4,2021,k
Graham Gano,1.7,1.9,1.7,6.9,NYG,4,2021,k
Jason Sanders,1.6,1.8,2.0,6.8,MIA,4,2021,k
Jake Elliott,1.5,1.8,2.2,6.7,PHI,4,2021,k
Joey Slye,1.5,1.8,1.6,6.2,TEN,4,2021,k
Matthew Wright,1.4,1.6,1.4,5.6,CAR,4,2021,k
Ka'imi Fairbairn,1.3,1.5,1.3,5.3,HOU,4,2021,k
Daniel Carlson,2.1,2.5,2.3,8.7,LV,5,2021,k
Younghoe Koo,2.0,2.3,2.2,8.2,ATL,5,2021,k
Harrison Butker,1.7,2.0,3.0,8.2,KC,5,2021,k
Nick Folk,2.0,2.4,2.0,8.1,NYJ,5,2021,k
Tyler Bass,1.8,2.1,2.7,8.0,BUF,5,2021,k
Matt Gay,1.7,2.0,2.9,7.9,WAS,5,2021,k
