Unnamed: 0_level_0_Rank,Player,RUSHING_ATT,RUSHING_YDS,RUSHING_Y/A,RUSHING_LG,RUSHING_20+,RUSHING_TD,RECEIVING_REC,RECEIVING_TGT,RECEIVING_YDS,RECEIVING_Y/R,RECEIVING_TD,MISC_FL,MISC_G,FPTS,MISC_FPTS/G,MISC_ROST,Team,Week,Year,Position
1,Christian McCaffrey,21,98,4.7,18,0,0,9,9,89,9.9,0,0,1,27.7,27.7,99.2%,SF,1,2021,rb
2,Joe Mixon,29,127,4.4,19,0,1,4,4,23,5.8,0,0,1,25.0,25.0,92.1%,HOU,1,2021,rb
3,Jamaal Williams,9,54,6.0,20,1,1,8,9,56,7.0,0,0,1,25.0,25.0,1.1%,FA,1,2021,rb
4,D'Andre Swift,11,39,3.5,16,0,0,8,11,65,8.1,1,0,1,24.4,24.4,88.9%,CHI,1,2021,rb
5,Nick Chubb,15,83,5.5,18,0,2,2,2,18,9.0,0,1,1,22.1,22.1,39.8%,HOU,1,2021,rb
6,Melvin Gordon III,11,101,9.2,70,1,1,3,3,17,5.7,0,0,1,20.8,20.8,0.0%,FA,1,2021,rb
7,Dalvin Cook,20,61,3.1,17,0,1,6,7,43,7.2,0,1,1,20.4,20.4,0.6%,FA,1,2021,rb
8,David Montgomery,16,108,6.8,41,1,1,1,1,10,10.0,0,0,1,18.8,18.8,93.1%,DET,1,2021,rb
9,Ty'Son Williams,9,65,7.2,35,1,1,3,4,29,9.7,0,0,1,18.4,18.4,1.2%,FA,1,2021,rb
10,Alvin Kamara,20,83,4.2,14,0,0,3,4,8,2.7,1,0,1,18.1,18.1,96.2%,NO,1,2021,rb
11,Jonathan Taylor,17,56,3.3,12,0,0,6,7,60,10.0,0,0,1,17.6,17.6,99.0%,IND,1,2021,rb
12,Miles Sanders,15,74,4.9,23,1,0,4,5,39,9.8,0,0,1,17.3,17.3,8.4%,DAL,1,2021,rb
13,Kareem Hunt,6,33,5.5,15,0,1,3,3,28,9.3,0,0,1,17.1,17.1,19.4%,KC,1,2021,rb
14,Josh Jacobs,10,34,3.4,15,0,2,1,2,6,6.0,0,0,1,17.0,17.0,99.3%,GB,1,2021,rb
15,Elijah Mitchell,19,104,5.5,38,1,1,0,0,0,0.0,0,0,1,16.4,16.4,3.9%,KC,1,2021,rb
16,Darrell Henderson Jr.,16,70,4.4,15,0,1,1,1,17,17.0,0,0,1,15.7,15.7,0.0%,FA,1,2021,rb
17,Chase Edmonds,12,63,5.3,16,0,0,4,4,43,10.8,0,0,1,14.6,14.6,0.0%,FA,1,2021,rb
18,Mark Ingram II,26,85,3.3,11,0,1,0,1,0,0.0,0,0,1,14.5,14.5,0.6%,FA,1,2021,rb
19,Nyheim Miller-Hines,9,34,3.8,8,0,0,6,8,48,8.0,0,0,1,14.2,14.2,0.0%,LAC,1,2021,rb
20,Chris Carson,16,91,5.7,33,1,0,3,3,26,8.7,0,1,1,12.7,12.7,0.3%,FA,1,2021,rb
21,Myles Gaskin,9,49,5.4,15,0,0,5,5,27,5.4,0,0,1,12.6,12.6,0.0%,BAL,1,2021,rb
22,Kenneth Gainwell,9,37,4.1,8,0,1,2,3,6,3.0,0,0,1,12.3,12.3,1.7%,PIT,1,2021,rb
23,James White,4,12,3.0,10,0,0,6,7,49,8.2,0,0,1,12.1,12.1,0.1%,FA,1,2021,rb
24,Kenyan Drake,6,11,1.8,6,0,0,5,5,59,11.8,0,0,1,12.0,12.0,1.1%,FA,1,2021,rb
25,Antonio Gibson,20,90,4.5,27,1,0,3,5,18,6.0,0,1,1,11.8,11.8,3.5%,NE,1,2021,rb
26,David Johnson,3,10,3.3,5,0,0,3,4,18,6.0,1,0,1,11.8,11.8,0.0%,FA,1,2021,rb
27,Austin Ekeler,15,57,3.8,14,0,1,0,0,0,0.0,0,0,1,11.7,11.7,53.3%,WAS,1,2021,rb
28,Damien Harris,23,100,4.3,35,1,0,2,3,17,8.5,0,1,1,11.7,11.7,9.0%,FA,1,2021,rb
29,Devin Singletary,11,72,6.5,25,1,0,3,5,8,2.7,0,0,1,11.0,11.0,3.7%,NYG,1,2021,rb
30,Leonard Fournette,9,32,3.6,7,0,0,5,7,27,5.4,0,0,1,10.9,10.9,0.0%,FA,1,2021,rb
31,Derrick Henry,17,58,3.4,19,0,0,3,4,19,6.3,0,0,1,10.7,10.7,99.4%,BAL,1,2021,rb
32,Mike Davis,15,49,3.3,12,0,0,3,6,23,7.7,0,0,1,10.2,10.2,1.0%,FA,1,2021,rb
33,Clyde Edwards-Helaire,14,43,3.1,9,0,0,3,3,29,9.7,0,0,1,10.2,10.2,0.8%,NO,1,2021,rb
34,JaMycal Hasty,1,3,3.0,3,0,1,1,1,15,15.0,0,0,1,8.8,8.8,1.1%,NE,1,2021,rb
35,Latavius Murray,10,28,2.8,8,0,1,0,0,0,0.0,0,0,1,8.8,8.8,0.0%,FA,1,2021,rb
36,Cordarrelle Patterson,7,54,7.7,14,0,0,2,2,13,6.5,0,0,1,8.7,8.7,0.6%,FA,1,2021,rb
37,Phillip Lindsay,8,25,3.1,8,0,1,0,1,0,0.0,0,0,1,8.5,8.5,0.0%,FA,1,2021,rb
38,James Robinson,5,25,5.0,7,0,0,3,6,29,9.7,0,0,1,8.4,8.4,0.0%,FA,1,2021,rb
39,Tony Pollard,3,14,4.7,11,0,0,4,4,29,7.3,0,0,1,8.3,8.3,86.6%,TEN,1,2021,rb
40,Damien Williams,6,12,2.0,6,0,0,4,5,28,7.0,0,0,1,8.0,8.0,0.0%,FA,1,2021,rb
41,Carlos Hyde,9,44,4.9,13,0,0,2,2,14,7.0,0,0,1,7.8,7.8,0.0%,FA,1,2021,rb
42,Jeremy McNichols,2,9,4.5,8,0,0,3,4,24,8.0,0,0,1,6.3,6.3,0.7%,WAS,1,2021,rb
43,Tony Jones Jr.,11,50,4.5,9,0,0,1,1,3,3.0,0,0,1,6.3,6.3,0.0%,FA,1,2021,rb
44,Alec Ingold,0,0,0.0,0,0,0,4,4,22,5.5,0,0,1,6.2,6.2,0.6%,MIA,1,2021,rb
45,Keith Smith,2,13,6.5,8,0,0,3,3,18,6.0,0,0,1,6.1,6.1,0.0%,FA,1,2021,rb
46,Najee Harris,16,45,2.8,18,0,0,1,3,4,4.0,0,0,1,5.9,5.9,60.4%,LAC,1,2021,rb
47,Ezekiel Elliott,11,33,3.0,13,0,0,2,2,6,3.0,0,0,1,5.9,5.9,0.8%,FA,1,2021,rb
48,James Conner,16,53,3.3,8,0,0,0,0,0,0.0,0,0,1,5.3,5.3,93.6%,ARI,1,2021,rb
49,Javonte Williams,14,45,3.2,12,0,0,1,1,-4,-4.0,0,0,1,5.1,5.1,70.5%,DAL,1,2021,rb
50,Salvon Ahmed,3,4,1.3,8,0,0,2,3,24,12.0,0,0,1,4.8,4.8,0.0%,IND,1,2021,rb
51,Aaron Jones Sr.,5,9,1.8,3,0,0,2,2,13,6.5,0,0,1,4.2,4.2,88.4%,MIN,1,2021,rb
52,Samaje Perine,5,22,4.4,13,0,0,1,1,7,7.0,0,0,1,3.9,3.9,2.5%,CIN,1,2021,rb
53,Ameer Abdullah,1,4,4.0,4,0,0,2,2,15,7.5,0,0,1,3.9,3.9,0.6%,SF,1,2021,rb
54,Saquon Barkley,10,26,2.6,5,0,0,1,3,1,1.0,0,0,1,3.7,3.7,99.5%,PHI,1,2021,rb
55,A.J. Dillon,4,19,4.8,6,0,0,1,2,7,7.0,0,0,1,3.6,3.6,3.2%,PHI,1,2021,rb
56,Ty Johnson,4,15,3.8,12,0,0,1,3,11,11.0,0,0,1,3.6,3.6,2.7%,BUF,1,2021,rb
57,Patrick Ricard,0,0,0.0,0,0,0,2,3,15,7.5,0,0,1,3.5,3.5,0.8%,BAL,1,2021,rb
58,Giovani Bernard,0,0,0.0,0,0,0,2,3,12,6.0,0,0,1,3.2,3.2,0.0%,FA,1,2021,rb
59,Michael Carter,4,6,1.5,2,0,0,1,2,14,14.0,0,0,1,3.0,3.0,1.1%,ARI,1,2021,rb
60,C.J. Ham,0,0,0.0,0,0,0,2,2,9,4.5,0,0,1,2.9,2.9,0.6%,MIN,1,2021,rb
61,Larry Rountree III,8,27,3.4,13,0,0,0,0,0,0.0,0,0,1,2.7,2.7,0.0%,FA,1,2021,rb
62,Chuba Hubbard,0,0,0.0,0,0,0,2,2,4,2.0,0,0,1,2.4,2.4,95.3%,CAR,1,2021,rb
63,Tevin Coleman,9,24,2.7,9,0,0,0,0,0,0.0,0,0,1,2.4,2.4,0.0%,FA,1,2021,rb
64,Devontae Booker,4,7,1.8,6,0,0,1,1,6,6.0,0,0,1,2.3,2.3,0.0%,FA,1,2021,rb
65,Raheem Mostert,2,20,10.0,11,0,0,0,0,0,0.0,0,0,1,2.0,2.0,8.1%,LV,1,2021,rb
66,DeeJay Dallas,1,5,5.0,5,0,0,1,1,5,5.0,0,0,1,2.0,2.0,0.1%,ARI,1,2021,rb
67,Kyle Juszczyk,0,0,0.0,0,0,0,1,1,7,7.0,0,0,1,1.7,1.7,0.9%,SF,1,2021,rb
68,Justin Jackson,1,5,5.0,5,0,0,1,1,2,2.0,0,0,1,1.7,1.7,0.0%,FA,1,2021,rb
69,Malcolm Brown,5,16,3.2,5,0,0,0,0,0,0.0,0,0,1,1.6,1.6,0.0%,FA,1,2021,rb
70,Gary Brightwell,0,0,0.0,0,0,0,1,1,6,6.0,0,0,1,1.6,1.6,0.0%,CIN,1,2021,rb
71,Rex Burkhead,0,0,0.0,0,0,0,1,2,6,6.0,0,0,1,1.6,1.6,10.0%,FA,1,2021,rb
72,Alexander Mattison,1,2,2.0,2,0,0,1,1,4,4.0,0,0,1,1.6,1.6,2.4%,MIA,1,2021,rb
73,Ty Montgomery II,0,0,0.0,0,0,0,1,1,5,5.0,0,0,1,1.5,1.5,0.0%,FA,1,2021,rb
74,Kylin Hill,5,14,2.8,8,0,0,0,0,0,0.0,0,0,1,1.4,1.4,0.0%,FA,1,2021,rb
75,Jaret Patterson,2,9,4.5,5,0,0,0,1,0,0.0,0,0,1,0.9,0.9,0.0%,LAC,1,2021,rb
76,Rashaad Penny,2,8,4.0,4,0,0,0,0,0,0.0,0,0,1,0.8,0.8,0.0%,FA,1,2021,rb
77,J.D. McKissic,1,8,8.0,8,0,0,0,1,0,0.0,0,0,1,0.8,0.8,1.0%,FA,1,2021,rb
78,Brandon Bolden,1,5,5.0,5,0,0,0,0,0,0.0,0,0,1,0.5,0.5,0.0%,FA,1,2021,rb
79,Trenton Cannon,2,5,2.5,3,0,0,0,0,0,0.0,0,0,1,0.5,0.5,0.0%,FA,1,2021,rb
80,Matt Breida,4,4,1.0,7,0,0,0,0,0,0.0,0,0,1,0.4,0.4,0.0%,FA,1,2021,rb
81,Darrel Williams,1,4,4.0,4,0,0,0,0,0,0.0,0,0,1,0.4,0.4,0.0%,FA,1,2021,rb
82,Mekhi Sargent,1,2,2.0,2,0,0,0,0,0,0.0,0,0,1,0.2,0.2,0.0%,FA,1,2021,rb
83,Gabe Nabers,1,2,2.0,2,0,0,0,0,0,0.0,0,0,1,0.2,0.2,0.6%,FA,1,2021,rb
84,Michael Burton,1,2,2.0,2,0,0,0,0,0,0.0,0,0,1,0.2,0.2,0.1%,DEN,1,2021,rb
85,Sony Michel,1,2,2.0,2,0,0,0,0,0,0.0,0,0,1,0.2,0.2,0.0%,FA,1,2021,rb
86,Rhamondre Stevenson,1,2,2.0,2,0,0,1,1,9,9.0,0,1,1,0.1,0.1,74.8%,NE,1,2021,rb
87,Khalil Herbert,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,2.6%,IND,1,2021,rb
88,Jonathan Ward,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%,NYG,1,2021,rb
89,Demetric Felton Jr.,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%,WAS,1,2021,rb
90,Sewo Olonilua,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%,FA,1,2021,rb
91,Jake Funk,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%,FA,1,2021,rb
92,Avery Williams,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.6%,PHI,1,2021,rb
93,Spencer Brown,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%,FA,1,2021,rb
94,Boston Scott,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%,FA,1,2021,rb
95,Jason Cabinda,0,0,0.0,0,0,0,0,1,0,0.0,0,0,1,0.0,0.0,1.1%,FA,1,2021,rb
96,Godwin Igwebuike,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%,FA,1,2021,rb
97,Tarik Cohen,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%,FA,1,2021,rb
98,Corey Clement,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%,FA,1,2021,rb
99,Wayne Gallman Jr.,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%,FA,1,2021,rb
100,Dare Ogunbowale,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.7%,HOU,1,2021,rb
101,Travis Homer,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.6%,CHI,1,2021,rb
102,Benny Snell Jr.,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%,FA,1,2021,rb
103,Khari Blasingame,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%,FA,1,2021,rb
104,Derek Watt,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%,FA,1,2021,rb
105,Andy Janovich,0,0,0.0,0,0,0,0,1,0,0.0,0,0,1,0.0,0.0,0.0%,FA,1,2021,rb
106,Elijhaa Penny,0,0,0.0,0,0,0,0,1,0,0.0,0,0,1,0.0,0.0,0.0%,FA,1,2021,rb
107,Ronald Jones II,4,14,3.5,5,0,0,0,0,0,0.0,0,1,1,-0.6,-0.6,0.0%,FA,1,2021,rb
1,Derrick Henry,35,182,5.2,60,1,3,6,6,55,9.2,0,0,1,47.7,47.7,99.4%,BAL,2,2021,rb
2,Aaron Jones Sr.,17,67,3.9,9,0,1,6,6,48,8.0,3,0,1,41.5,41.5,88.4%,MIN,2,2021,rb
3,Christian McCaffrey,24,72,3.0,16,0,1,5,6,65,13.0,0,0,1,24.7,24.7,99.2%,SF,2,2021,rb
4,Cordarrelle Patterson,7,11,1.6,10,0,1,5,7,58,11.6,1,0,1,23.9,23.9,0.6%,FA,2,2021,rb
5,Tony Pollard,13,109,8.4,28,2,1,3,3,31,10.3,0,0,1,23.0,23.0,86.6%,TEN,2,2021,rb
6,Austin Ekeler,9,54,6.0,20,1,0,9,9,61,6.8,0,0,1,22.5,22.5,53.3%,WAS,2,2021,rb
7,J.D. McKissic,4,10,2.5,4,0,1,5,6,83,16.6,0,0,1,20.3,20.3,1.0%,FA,2,2021,rb
8,Najee Harris,10,38,3.8,14,0,0,5,5,43,8.6,1,0,1,19.1,19.1,60.4%,LAC,2,2021,rb
9,James White,5,20,4.0,7,0,1,6,6,45,7.5,0,0,1,18.5,18.5,0.1%,FA,2,2021,rb
10,Ezekiel Elliott,16,71,4.4,19,0,1,2,2,26,13.0,0,0,1,17.7,17.7,0.8%,FA,2,2021,rb
11,Darrell Henderson Jr.,13,53,4.1,13,0,1,3,5,29,9.7,0,0,1,17.2,17.2,0.0%,FA,2,2021,rb
12,Devin Singletary,13,82,6.3,46,1,1,2,3,9,4.5,0,0,1,17.1,17.1,3.7%,NYG,2,2021,rb
13,Nick Chubb,11,95,8.6,26,2,1,1,1,3,3.0,0,0,1,16.8,16.8,39.8%,HOU,2,2021,rb
14,Dalvin Cook,22,131,6.0,16,0,0,2,3,17,8.5,0,0,1,16.8,16.8,0.6%,FA,2,2021,rb
15,Zack Moss,8,26,3.3,10,0,2,2,2,8,4.0,0,1,1,15.4,15.4,5.8%,FA,2,2021,rb
16,Chris Carson,13,31,2.4,8,0,2,0,0,0,0.0,0,0,1,15.1,15.1,0.3%,FA,2,2021,rb
17,Damien Harris,16,62,3.9,26,1,1,1,1,2,2.0,0,0,1,13.4,13.4,9.0%,FA,2,2021,rb
18,Mike Davis,9,38,4.2,8,0,0,7,7,25,3.6,0,0,1,13.3,13.3,1.0%,FA,2,2021,rb
19,Demetric Felton Jr.,0,0,0.0,0,0,0,2,2,51,25.5,1,0,1,13.1,13.1,0.0%,WAS,2,2021,rb
20,Chase Edmonds,8,46,5.8,14,0,0,5,5,29,5.8,0,0,1,12.5,12.5,0.0%,FA,2,2021,rb
21,D'Andre Swift,8,37,4.6,12,0,0,4,5,41,10.3,0,0,1,11.8,11.8,88.9%,CHI,2,2021,rb
22,Leonard Fournette,11,52,4.7,10,0,0,4,4,24,6.0,0,0,1,11.6,11.6,0.0%,FA,2,2021,rb
23,Ty'Son Williams,13,77,5.9,20,1,0,2,2,16,8.0,0,0,1,11.3,11.3,1.2%,FA,2,2021,rb
24,David Montgomery,20,61,3.1,11,0,0,3,4,18,6.0,0,0,1,10.9,10.9,93.1%,DET,2,2021,rb
25,Michael Carter,11,59,5.4,14,0,0,2,3,29,14.5,0,0,1,10.8,10.8,1.1%,ARI,2,2021,rb
26,Kenyan Drake,7,9,1.3,5,0,0,5,6,46,9.2,0,0,1,10.5,10.5,1.1%,FA,2,2021,rb
27,JaMycal Hasty,5,38,7.6,21,1,0,4,5,21,5.3,0,0,1,9.9,9.9,1.1%,NE,2,2021,rb
28,Latavius Murray,9,36,4.0,8,0,1,0,0,0,0.0,0,0,1,9.6,9.6,0.0%,FA,2,2021,rb
29,James Robinson,11,47,4.3,12,0,0,3,3,17,5.7,0,0,1,9.4,9.4,0.0%,FA,2,2021,rb
30,Phillip Lindsay,5,2,0.4,5,0,0,1,1,22,22.0,1,0,1,9.4,9.4,0.0%,FA,2,2021,rb
31,Antonio Gibson,13,69,5.3,14,0,0,2,2,4,2.0,0,0,1,9.3,9.3,3.5%,NE,2,2021,rb
32,Melvin Gordon III,13,31,2.4,8,0,0,2,2,38,19.0,0,0,1,8.9,8.9,0.0%,FA,2,2021,rb
33,Saquon Barkley,13,57,4.4,41,1,0,2,3,12,6.0,0,0,1,8.9,8.9,99.5%,PHI,2,2021,rb
34,Myles Gaskin,5,25,5.0,18,0,0,4,5,21,5.3,0,0,1,8.6,8.6,0.0%,BAL,2,2021,rb
35,Javonte Williams,13,64,4.9,16,0,0,1,1,10,10.0,0,0,1,8.4,8.4,70.5%,DAL,2,2021,rb
36,Joe Mixon,20,69,3.5,10,0,0,1,2,2,2.0,0,0,1,8.1,8.1,92.1%,HOU,2,2021,rb
37,Elijah Mitchell,17,42,2.5,10,0,0,2,2,11,5.5,0,0,1,7.3,7.3,3.9%,KC,2,2021,rb
38,Kenneth Gainwell,6,14,2.3,6,0,0,2,3,18,9.0,0,0,1,7.2,7.2,1.7%,PIT,2,2021,rb
39,Alvin Kamara,8,5,0.6,5,0,0,4,6,25,6.3,0,0,1,7.0,7.0,96.2%,NO,2,2021,rb
40,Miles Sanders,13,55,4.2,10,0,0,1,2,4,4.0,0,0,1,6.9,6.9,8.4%,DAL,2,2021,rb
41,Jamaal Williams,7,25,3.6,8,0,0,3,3,12,4.0,0,0,1,6.7,6.7,1.1%,FA,2,2021,rb
42,David Johnson,6,25,4.2,8,0,0,2,2,22,11.0,0,0,1,6.7,6.7,0.0%,FA,2,2021,rb
43,Kareem Hunt,13,51,3.9,13,0,0,1,1,2,2.0,0,0,1,6.3,6.3,19.4%,KC,2,2021,rb
44,Jonathan Taylor,15,51,3.4,13,0,0,1,1,2,2.0,0,0,1,6.3,6.3,99.0%,IND,2,2021,rb
45,Andy Janovich,2,0,0.0,1,0,1,0,0,0,0.0,0,0,1,6.0,6.0,0.0%,FA,2,2021,rb
46,Jeremy McNichols,1,3,3.0,3,0,0,3,3,26,8.7,0,0,1,5.9,5.9,0.7%,WAS,2,2021,rb
47,Darrel Williams,3,-2,-0.7,2,0,1,0,0,0,0.0,0,0,1,5.8,5.8,0.0%,FA,2,2021,rb
48,Mark Ingram II,14,41,2.9,8,0,0,1,2,-1,-1.0,0,0,1,5.0,5.0,0.6%,FA,2,2021,rb
49,Ty Johnson,12,50,4.2,17,0,0,0,0,0,0.0,0,0,1,5.0,5.0,2.7%,BUF,2,2021,rb
50,Ronald Jones II,6,27,4.5,10,0,0,1,3,9,9.0,0,0,1,4.6,4.6,0.0%,FA,2,2021,rb
51,Sony Michel,10,46,4.6,11,0,0,0,0,0,0.0,0,0,1,4.6,4.6,0.0%,FA,2,2021,rb
52,Justin Jackson,4,21,5.3,7,0,0,1,1,8,8.0,0,0,1,3.9,3.9,0.0%,FA,2,2021,rb
53,Alexander Mattison,3,11,3.7,6,0,0,1,1,17,17.0,0,0,1,3.8,3.8,2.4%,MIA,2,2021,rb
54,Kyle Juszczyk,1,2,2.0,2,0,0,2,3,15,7.5,0,0,1,3.7,3.7,0.9%,SF,2,2021,rb
55,Giovani Bernard,0,0,0.0,0,0,0,2,2,16,8.0,0,0,1,3.6,3.6,0.0%,FA,2,2021,rb
56,A.J. Dillon,5,18,3.6,8,0,0,1,1,8,8.0,0,0,1,3.6,3.6,3.2%,PHI,2,2021,rb
57,Travis Homer,0,0,0.0,0,0,0,2,2,14,7.0,0,0,1,3.4,3.4,0.6%,CHI,2,2021,rb
58,Peyton Barber,13,32,2.5,13,0,0,0,0,0,0.0,0,0,1,3.2,3.2,1.0%,FA,2,2021,rb
59,Nyheim Miller-Hines,1,5,5.0,5,0,0,1,2,17,17.0,0,0,1,3.2,3.2,0.0%,LAC,2,2021,rb
60,Devonta Freeman,2,29,14.5,31,1,0,0,0,0,0.0,0,0,1,2.9,2.9,0.0%,FA,2,2021,rb
61,Clyde Edwards-Helaire,13,46,3.5,9,0,0,0,0,0,0.0,0,1,1,2.6,2.6,0.8%,NO,2,2021,rb
62,James Conner,8,26,3.3,9,0,0,0,0,0,0.0,0,0,1,2.6,2.6,93.6%,ARI,2,2021,rb
63,Alex Collins,1,25,25.0,25,1,0,0,0,0,0.0,0,0,1,2.5,2.5,19.0%,FA,2,2021,rb
64,Chris Evans,0,0,0.0,0,0,0,1,1,14,14.0,0,0,1,2.4,2.4,0.0%,FA,2,2021,rb
65,Damien Williams,2,6,3.0,6,0,0,2,3,-2,-1.0,0,0,1,2.4,2.4,0.0%,FA,2,2021,rb
66,Tevin Coleman,5,24,4.8,17,0,0,0,0,0,0.0,0,0,1,2.4,2.4,0.0%,FA,2,2021,rb
67,Jerick McKinnon,0,0,0.0,0,0,0,1,1,14,14.0,0,0,1,2.4,2.4,0.0%,FA,2,2021,rb
68,Malcolm Brown,5,21,4.2,12,0,0,0,0,0,0.0,0,0,1,2.1,2.1,0.0%,FA,2,2021,rb
69,Michael Burton,0,0,0.0,0,0,0,1,1,11,11.0,0,0,1,2.1,2.1,0.1%,DEN,2,2021,rb
70,Devontae Booker,2,9,4.5,7,0,0,1,1,2,2.0,0,0,1,2.1,2.1,0.0%,FA,2,2021,rb
71,Salvon Ahmed,6,17,2.8,8,0,0,0,3,0,0.0,0,0,1,1.7,1.7,0.0%,IND,2,2021,rb
72,Marlon Mack,5,16,3.2,6,0,0,0,1,0,0.0,0,0,1,1.6,1.6,0.0%,FA,2,2021,rb
73,Ty Montgomery II,0,0,0.0,0,0,0,1,1,3,3.0,0,0,1,1.3,1.3,0.0%,FA,2,2021,rb
74,Chuba Hubbard,8,10,1.3,9,0,0,0,1,0,0.0,0,0,1,1.0,1.0,95.3%,CAR,2,2021,rb
75,Kylin Hill,2,8,4.0,5,0,0,0,0,0,0.0,0,0,1,0.8,0.8,0.0%,FA,2,2021,rb
76,Larry Rountree III,1,-1,-1.0,0,0,0,1,1,-1,-1.0,0,0,1,0.8,0.8,0.0%,FA,2,2021,rb
77,Trey Sermon,1,8,8.0,8,0,0,0,0,0,0.0,0,0,1,0.8,0.8,0.6%,PIT,2,2021,rb
78,Tony Jones Jr.,3,7,2.3,6,0,0,0,0,0,0.0,0,0,1,0.7,0.7,0.0%,FA,2,2021,rb
79,Carlos Hyde,2,7,3.5,6,0,0,0,2,0,0.0,0,0,1,0.7,0.7,0.0%,FA,2,2021,rb
80,Elijhaa Penny,2,5,2.5,3,0,0,0,0,0,0.0,0,0,1,0.5,0.5,0.0%,FA,2,2021,rb
81,J.J. Taylor,2,3,1.5,2,0,0,0,0,0,0.0,0,0,1,0.3,0.3,0.6%,HOU,2,2021,rb
82,Keith Smith,2,3,1.5,3,0,0,0,1,0,0.0,0,0,1,0.3,0.3,0.0%,FA,2,2021,rb
83,Patrick Ricard,1,2,2.0,2,0,0,0,0,0,0.0,0,0,1,0.2,0.2,0.8%,BAL,2,2021,rb
84,Reggie Gilliam,2,2,1.0,2,0,0,0,0,0,0.0,0,0,1,0.2,0.2,0.0%,BUF,2,2021,rb
85,Benny Snell Jr.,2,1,0.5,1,0,0,0,0,0,0.0,0,0,1,0.1,0.1,0.0%,FA,2,2021,rb
86,Gabe Nabers,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.6%,FA,2,2021,rb
