Player,RUSHING_ATT_proj,RUSHING_YDS_proj,RUSHING_TDS,RECEIVING_REC_proj,RECEIVING_YDS_proj,RECEIVING_TDS,MISC_FL_proj,FPTS_proj,Team_proj,Week,Year,Position_proj,Unnamed: 0_level_0_Rank,RUSHING_ATT_actual,RUSHING_YDS_actual,RUSHING_Y/A,RUSHING_LG,RUSHING_20+,RUSHING_TD,RECEIVING_REC_actual,RECEIVING_TGT,RECEIVING_YDS_actual,RECEIVING_Y/R,RECEIVING_TD,MISC_FL_actual,MISC_G,FPTS_actual,MISC_FPTS/G,MISC_ROST,Team_actual,Position_actual
Christian McCaffrey,19.2,80.1,0.8,5.4,43.8,0.3,0.1,24.4,SF,1,2021,RB,1.0,21.0,98.0,4.7,18.0,0.0,0.0,9.0,9.0,89.0,9.9,0.0,0.0,1.0,27.7,27.7,99.2%,SF,RB
Alvin Kamara,14.0,66.2,0.7,5.3,48.1,0.2,0.1,21.7,NO,1,2021,RB,10.0,20.0,83.0,4.2,14.0,0.0,0.0,3.0,4.0,8.0,2.7,1.0,0.0,1.0,18.1,18.1,96.2%,NO,RB
Derrick Henry,22.2,106.7,0.8,1.7,13.7,0.1,0.2,18.9,BAL,1,2021,RB,31.0,17.0,58.0,3.4,19.0,0.0,0.0,3.0,4.0,19.0,6.3,0.0,0.0,1.0,10.7,10.7,99.4%,BAL,RB
Austin Ekeler,12.3,51.7,0.2,5.6,43.0,0.3,0.1,18.1,WAS,1,2021,RB,28.0,15.0,57.0,3.8,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.7,11.7,53.3%,WAS,RB
Aaron Jones Sr.,14.9,68.9,0.7,3.4,25.9,0.1,0.1,17.4,MIN,1,2021,RB,51.0,5.0,9.0,1.8,3.0,0.0,0.0,2.0,2.0,13.0,6.5,0.0,0.0,1.0,4.2,4.2,88.4%,MIN,RB
Joe Mixon,16.7,69.5,0.6,3.3,24.5,0.1,0.1,16.9,HOU,1,2021,RB,3.0,29.0,127.0,4.4,19.0,0.0,1.0,4.0,4.0,23.0,5.8,0.0,0.0,1.0,25.0,25.0,92.1%,HOU,RB
Antonio Gibson,16.9,71.2,0.7,2.8,22.0,0.1,0.1,16.5,NE,1,2021,RB,25.0,20.0,90.0,4.5,27.0,1.0,0.0,3.0,5.0,18.0,6.0,0.0,1.0,1.0,11.8,11.8,3.5%,NE,RB
Raheem Mostert,14.4,73.8,0.7,2.0,20.3,0.1,0.1,16.1,LV,1,2021,RB,65.0,2.0,20.0,10.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,8.2%,LV,RB
Jonathan Taylor,16.4,73.4,0.7,2.3,19.6,0.1,0.1,16.0,IND,1,2021,RB,11.0,17.0,56.0,3.3,12.0,0.0,0.0,6.0,7.0,60.0,10.0,0.0,0.0,1.0,17.6,17.6,99.0%,IND,RB
Najee Harris,16.7,71.6,0.5,3.1,24.3,0.1,0.1,15.7,LAC,1,2021,RB,47.0,16.0,45.0,2.8,18.0,0.0,0.0,1.0,3.0,4.0,4.0,0.0,0.0,1.0,5.9,5.9,59.0%,LAC,RB
Nick Chubb,16.7,82.6,0.7,1.8,14.8,0.1,0.1,15.7,HOU,1,2021,RB,5.0,15.0,83.0,5.5,18.0,0.0,2.0,2.0,2.0,18.0,9.0,0.0,1.0,1.0,22.1,22.1,38.9%,HOU,RB
Clyde Edwards-Helaire,13.8,58.3,0.6,3.2,24.4,0.1,0.1,15.3,NO,1,2021,RB,32.0,14.0,43.0,3.1,9.0,0.0,0.0,3.0,3.0,29.0,9.7,0.0,0.0,1.0,10.2,10.2,0.8%,NO,RB
Miles Sanders,14.0,63.2,0.6,2.8,22.8,0.1,0.1,15.0,DAL,1,2021,RB,12.0,15.0,74.0,4.9,23.0,1.0,0.0,4.0,5.0,39.0,9.8,0.0,0.0,1.0,17.3,17.3,8.2%,DAL,RB
Saquon Barkley,13.2,60.0,0.6,2.9,23.3,0.1,0.1,15.0,PHI,1,2021,RB,54.0,10.0,26.0,2.6,5.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,1.0,3.7,3.7,99.5%,PHI,RB
David Montgomery,16.2,63.6,0.4,3.2,23.9,0.1,0.1,14.7,DET,1,2021,RB,8.0,16.0,108.0,6.8,41.0,1.0,1.0,1.0,1.0,10.0,10.0,0.0,0.0,1.0,18.8,18.8,93.1%,DET,RB
Myles Gaskin,12.3,52.2,0.4,3.8,24.4,0.1,0.1,13.9,BAL,1,2021,RB,21.0,9.0,49.0,5.4,15.0,0.0,0.0,5.0,5.0,27.0,5.4,0.0,0.0,1.0,12.6,12.6,0.0%,BAL,RB
D'Andre Swift,10.8,47.7,0.3,3.8,30.4,0.1,0.1,13.6,CHI,1,2021,RB,4.0,11.0,39.0,3.5,16.0,0.0,0.0,8.0,11.0,65.0,8.1,1.0,0.0,1.0,24.4,24.4,88.9%,CHI,RB
Josh Jacobs,15.5,61.4,0.6,2.0,15.8,0.0,0.1,13.2,GB,1,2021,RB,14.0,10.0,34.0,3.4,15.0,0.0,2.0,1.0,2.0,6.0,6.0,0.0,0.0,1.0,17.0,17.0,99.3%,GB,RB
