Player,RUSHING_ATT,RUSHING_YDS,RUSHING_TDS,RECEIVING_REC,RECEIVING_YDS,RECEIVING_TDS,MISC_FL,FPTS,Team,Week,Year,Position
Christian McCaffrey,19.2,80.1,0.8,5.4,43.8,0.3,0.1,24.4,SF,1,2021,rb
Alvin Kamara,14.0,66.2,0.7,5.3,48.1,0.2,0.1,21.7,NO,1,2021,rb
Derrick Henry,22.2,106.7,0.8,1.7,13.7,0.1,0.2,18.9,BAL,1,2021,rb
Austin Ekeler,12.3,51.7,0.2,5.6,43.0,0.3,0.1,18.1,WAS,1,2021,rb
Aaron Jones Sr.,14.9,68.9,0.7,3.4,25.9,0.1,0.1,17.4,MIN,1,2021,rb
Joe Mixon,16.7,69.5,0.6,3.3,24.5,0.1,0.1,16.9,HOU,1,2021,rb
Antonio Gibson,16.9,71.2,0.7,2.8,22.0,0.1,0.1,16.5,NE,1,2021,rb
Raheem Mostert,14.4,73.8,0.7,2.0,20.3,0.1,0.1,16.1,LV,1,2021,rb
Jonathan Taylor,16.4,73.4,0.7,2.3,19.6,0.1,0.1,16.0,IND,1,2021,rb
Najee Harris,16.7,71.6,0.5,3.1,24.3,0.1,0.1,15.7,LAC,1,2021,rb
Nick Chubb,16.7,82.6,0.7,1.8,14.8,0.1,0.1,15.7,HOU,1,2021,rb
Clyde Edwards-Helaire,13.8,58.3,0.6,3.2,24.4,0.1,0.1,15.3,NO,1,2021,rb
Miles Sanders,14.0,63.2,0.6,2.8,22.8,0.1,0.1,15.0,DAL,1,2021,rb
Saquon Barkley,13.2,60.0,0.6,2.9,23.3,0.1,0.1,15.0,PHI,1,2021,rb
David Montgomery,16.2,63.6,0.4,3.2,23.9,0.1,0.1,14.7,DET,1,2021,rb
Myles Gaskin,12.3,52.2,0.4,3.8,24.4,0.1,0.1,13.9,BAL,1,2021,rb
D'Andre Swift,10.8,47.7,0.3,3.8,30.4,0.1,0.1,13.6,CHI,1,2021,rb
Josh Jacobs,15.5,61.4,0.6,2.0,15.8,0.0,0.1,13.2,GB,1,2021,rb
Kareem Hunt,8.7,37.4,0.5,2.5,22.5,0.1,0.1,12.1,KC,1,2021,rb
Devin Singletary,12.0,48.4,0.2,2.3,15.8,0.1,0.1,10.0,NYG,1,2021,rb
Javonte Williams,11.3,44.9,0.3,1.6,13.7,0.0,0.1,9.6,DAL,1,2021,rb
James Conner,9.1,39.2,0.2,1.6,13.1,0.0,0.1,8.3,ARI,1,2021,rb
Nyheim Miller-Hines,4.0,16.1,0.1,3.2,25.1,0.1,0.0,8.2,LAC,1,2021,rb
Ty Johnson,6.8,28.9,0.1,1.6,11.2,0.0,0.1,6.5,BUF,1,2021,rb
Tony Pollard,5.4,22.4,0.1,1.8,12.8,0.1,0.0,6.2,TEN,1,2021,rb
Michael Carter,6.5,25.1,0.1,1.4,10.2,0.0,0.1,5.8,ARI,1,2021,rb
A.J. Dillon,8.8,35.4,0.2,0.7,5.5,0.0,0.1,5.7,PHI,1,2021,rb
JaMycal Hasty,6.1,26.9,0.2,0.9,7.1,0.0,0.1,5.3,NE,1,2021,rb
Alexander Mattison,6.2,26.7,0.1,0.8,7.0,0.1,0.0,5.1,MIA,1,2021,rb
Rhamondre Stevenson,7.4,27.9,0.2,0.4,3.9,0.0,0.0,4.5,NE,1,2021,rb
Kyle Juszczyk,0.9,3.2,0.0,1.5,16.4,0.1,0.0,4.4,SF,1,2021,rb
Samaje Perine,4.0,17.5,0.1,0.8,5.4,0.0,0.0,3.8,CIN,1,2021,rb
Salvon Ahmed,3.6,16.2,0.1,0.7,6.0,0.0,0.0,3.6,IND,1,2021,rb
DeeJay Dallas,2.6,8.5,0.1,1.1,8.4,0.1,0.0,3.5,ARI,1,2021,rb
Elijah Mitchell,3.2,14.6,0.1,0.5,5.2,0.0,0.0,3.2,KC,1,2021,rb
Jeremy McNichols,3.3,11.6,0.1,0.8,6.4,0.0,0.0,3.1,WAS,1,2021,rb
Chuba Hubbard,3.7,13.2,0.1,0.5,4.5,0.0,0.0,3.0,CAR,1,2021,rb
Kenneth Gainwell,2.7,11.5,0.1,0.5,4.0,0.0,0.0,2.5,PIT,1,2021,rb
Jaret Patterson,2.5,10.5,0.1,0.3,2.2,0.0,0.0,2.0,LAC,1,2021,rb
Dare Ogunbowale,0.4,4.1,0.0,0.7,6.4,0.0,0.0,2.0,HOU,1,2021,rb
Travis Homer,1.7,6.4,0.0,0.5,4.5,0.0,0.0,2.0,CHI,1,2021,rb
C.J. Ham,0.4,0.9,0.0,0.7,6.8,0.0,0.0,1.8,MIN,1,2021,rb
Gary Brightwell,1.7,7.5,0.1,0.3,2.9,0.0,0.0,1.8,CIN,1,2021,rb
Patrick Ricard,0.1,0.1,0.0,0.8,5.6,0.1,0.0,1.7,BAL,1,2021,rb
Darrynton Evans,1.3,5.0,0.0,0.4,3.5,0.1,0.0,1.5,BUF,1,2021,rb
Alec Ingold,0.3,0.7,0.0,0.5,4.6,0.0,0.0,1.3,MIA,1,2021,rb
Trayveon Williams,0.9,3.7,0.0,0.2,1.6,0.0,0.0,0.9,CLE,1,2021,rb
Jonathan Ward,0.7,2.6,0.0,0.2,1.7,0.0,0.0,0.8,NYG,1,2021,rb
Jakob Johnson,0.0,0.1,0.0,0.3,2.5,0.0,0.0,0.8,HOU,1,2021,rb
Ameer Abdullah,0.1,2.8,0.0,0.2,1.4,0.0,0.0,0.7,SF,1,2021,rb
D'Ernest Johnson,0.8,3.5,0.0,0.1,1.1,0.0,0.0,0.7,BAL,1,2021,rb
Demetric Felton Jr.,0.5,2.9,0.0,0.1,0.8,0.0,0.0,0.6,WAS,1,2021,rb
Michael Burton,0.2,0.8,0.0,0.2,1.9,0.0,0.0,0.6,DEN,1,2021,rb
Kene Nwangwu,0.2,1.0,0.0,0.2,2.5,0.0,0.0,0.6,NYJ,1,2021,rb
Khalil Herbert,0.1,1.7,0.0,0.2,1.1,0.0,0.0,0.5,IND,1,2021,rb
Nick Bellore,0.1,0.2,0.0,0.1,1.2,0.0,0.0,0.3,WAS,1,2021,rb
Reggie Gilliam,0.0,0.0,0.0,0.1,1.0,0.0,0.0,0.2,BUF,1,2021,rb
Jermar Jefferson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TEN,1,2021,rb
J.J. Taylor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HOU,1,2021,rb
Patrick Taylor Jr.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SF,1,2021,rb
Giovanni Ricci,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MIN,1,2021,rb
Christian McCaffrey,18.7,77.5,0.7,5.7,45.3,0.2,0.1,22.9,SF,2,2021,rb
Alvin Kamara,15.8,73.8,0.7,5.3,45.4,0.3,0.1,22.9,NO,2,2021,rb
Aaron Jones Sr.,15.1,76.4,0.8,3.5,30.1,0.2,0.1,19.7,MIN,2,2021,rb
Austin Ekeler,13.5,58.4,0.5,5.0,40.2,0.3,0.1,19.5,WAS,2,2021,rb
Nick Chubb,19.6,100.1,1.0,1.7,14.7,0.1,0.1,19.3,HOU,2,2021,rb
Derrick Henry,21.8,101.4,0.8,1.8,14.6,0.1,0.1,18.4,BAL,2,2021,rb
Najee Harris,18.7,79.2,0.7,3.0,25.1,0.1,0.2,18.1,LAC,2,2021,rb
Antonio Gibson,18.6,76.1,0.7,3.1,22.8,0.1,0.1,17.4,NE,2,2021,rb
D'Andre Swift,11.8,51.3,0.5,4.5,39.4,0.2,0.1,17.4,CHI,2,2021,rb
Joe Mixon,17.7,71.0,0.5,3.5,25.7,0.1,0.1,16.8,HOU,2,2021,rb
David Montgomery,17.8,75.8,0.6,2.8,21.1,0.1,0.1,16.8,DET,2,2021,rb
Jonathan Taylor,15.7,66.5,0.6,2.8,23.2,0.1,0.1,15.7,IND,2,2021,rb
Miles Sanders,13.6,60.9,0.5,2.8,23.5,0.1,0.1,14.6,DAL,2,2021,rb
Clyde Edwards-Helaire,14.1,57.4,0.3,3.2,25.8,0.1,0.1,14.0,NO,2,2021,rb
Myles Gaskin,12.0,53.0,0.3,3.4,26.7,0.1,0.1,13.9,BAL,2,2021,rb
Saquon Barkley,12.7,55.7,0.4,2.8,21.2,0.1,0.1,13.6,PHI,2,2021,rb
Kareem Hunt,9.5,42.9,0.6,2.6,23.7,0.2,0.1,13.5,KC,2,2021,rb
Elijah Mitchell,15.4,69.6,0.6,1.1,10.0,0.0,0.1,12.7,KC,2,2021,rb
Javonte Williams,12.9,52.0,0.4,1.4,12.1,0.1,0.1,10.7,DAL,2,2021,rb
Nyheim Miller-Hines,5.7,21.8,0.1,3.8,28.1,0.1,0.1,10.3,LAC,2,2021,rb
Devin Singletary,12.3,47.7,0.2,2.3,16.3,0.1,0.1,10.1,NYG,2,2021,rb
James Conner,11.0,46.2,0.3,1.4,10.5,0.0,0.1,8.8,ARI,2,2021,rb
Tony Pollard,5.5,24.8,0.2,1.8,13.8,0.1,0.0,6.9,TEN,2,2021,rb
A.J. Dillon,8.9,39.2,0.3,0.6,5.9,0.0,0.1,6.7,PHI,2,2021,rb
Ty Johnson,5.4,23.5,0.1,1.8,13.6,0.1,0.1,6.3,BUF,2,2021,rb
Kenneth Gainwell,6.1,23.0,0.2,1.4,11.5,0.1,0.0,6.1,PIT,2,2021,rb
Michael Carter,6.2,23.5,0.1,1.2,9.4,0.0,0.0,5.4,ARI,2,2021,rb
Trey Sermon,5.0,21.1,0.1,0.8,6.0,0.0,0.0,4.4,PIT,2,2021,rb
JaMycal Hasty,3.6,15.4,0.1,1.0,8.3,0.0,0.0,4.2,NE,2,2021,rb
Salvon Ahmed,3.7,16.1,0.1,1.0,7.8,0.0,0.0,4.0,IND,2,2021,rb
Samaje Perine,3.5,15.2,0.1,0.9,6.8,0.0,0.0,3.7,CIN,2,2021,rb
DeeJay Dallas,3.1,11.7,0.1,0.9,7.7,0.0,0.0,3.5,ARI,2,2021,rb
Kyle Juszczyk,0.7,2.5,0.0,1.3,12.2,0.1,0.0,3.4,SF,2,2021,rb
Alexander Mattison,3.5,16.4,0.1,0.6,6.0,0.0,0.0,3.4,MIA,2,2021,rb
Jeremy McNichols,2.7,9.3,0.0,0.9,6.6,0.0,0.0,2.9,WAS,2,2021,rb
J.J. Taylor,3.3,14.1,0.1,0.3,2.6,0.0,0.0,2.6,HOU,2,2021,rb
Darrynton Evans,1.2,4.8,0.0,0.7,5.3,0.0,0.0,2.1,BUF,2,2021,rb
Patrick Ricard,0.1,0.1,0.0,1.0,7.6,0.1,0.0,2.1,BAL,2,2021,rb
Chuba Hubbard,1.8,6.5,0.0,0.7,5.0,0.0,0.0,2.1,CAR,2,2021,rb
Alec Ingold,0.3,1.2,0.0,0.9,7.8,0.0,0.0,2.0,MIA,2,2021,rb
Ameer Abdullah,1.2,5.0,0.0,0.6,4.0,0.0,0.0,1.7,SF,2,2021,rb
C.J. Ham,0.3,1.2,0.0,0.7,6.0,0.0,0.0,1.7,MIN,2,2021,rb
Travis Homer,0.7,4.7,0.0,0.5,3.8,0.0,0.0,1.6,CHI,2,2021,rb
Jaret Patterson,1.5,7.2,0.1,0.3,2.4,0.0,0.0,1.6,LAC,2,2021,rb
Dare Ogunbowale,0.4,4.5,0.0,0.4,3.4,0.0,0.0,1.3,HOU,2,2021,rb
Khalil Herbert,0.7,3.8,0.0,0.2,1.5,0.0,0.0,1.0,IND,2,2021,rb
Demetric Felton Jr.,0.7,3.8,0.0,0.2,1.7,0.0,0.0,1.0,WAS,2,2021,rb
Gary Brightwell,0.4,3.0,0.0,0.2,1.7,0.0,0.0,0.8,CIN,2,2021,rb
Jonathan Ward,0.5,1.6,0.0,0.2,1.8,0.0,0.0,0.8,NYG,2,2021,rb
Michael Burton,0.2,0.9,0.0,0.3,1.7,0.0,0.0,0.6,DEN,2,2021,rb
Jakob Johnson,0.0,0.2,0.0,0.3,1.6,0.0,0.0,0.6,HOU,2,2021,rb
D'Ernest Johnson,0.8,3.4,0.0,0.1,1.2,0.0,0.0,0.6,BAL,2,2021,rb
Giovanni Ricci,0.0,0.0,0.0,0.2,2.0,0.0,0.0,0.4,MIN,2,2021,rb
Nick Bellore,0.3,0.9,0.0,0.1,1.0,0.0,0.0,0.3,WAS,2,2021,rb
Reggie Gilliam,0.0,0.0,0.0,0.1,1.0,0.0,0.0,0.2,BUF,2,2021,rb
Mike Boone,0.0,0.1,0.0,0.0,0.2,0.0,0.0,0.1,MIA,2,2021,rb
Kene Nwangwu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NYJ,2,2021,rb
Jermar Jefferson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TEN,2,2021,rb
Ke'Shawn Vaughn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SF,2,2021,rb
Patrick Taylor Jr.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SF,2,2021,rb
Trayveon Williams,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CLE,2,2021,rb
Christian McCaffrey,19.7,88.9,0.9,5.9,50.2,0.2,0.2,25.7,SF,3,2021,rb
Alvin Kamara,14.7,66.4,0.6,5.3,45.9,0.2,0.1,21.4,NO,3,2021,rb
Derrick Henry,23.5,107.2,0.9,2.3,18.4,0.1,0.2,20.4,BAL,3,2021,rb
Austin Ekeler,12.9,57.3,0.5,5.3,42.8,0.2,0.1,19.4,WAS,3,2021,rb
