Unnamed: 0_level_0_Rank,Player,RECEIVING_REC,RECEIVING_TGT,RECEIVING_YDS,RECEIVING_Y/R,RECEIVING_LG,RECEIVING_20+,RECEIVING_TD,RUSHING_ATT,RUSHING_YDS,RUSHING_TD,MISC_FL,MISC_G,FPTS,MISC_FPTS/G,MISC_ROST,Team,Week,Year,Position
1,Rob Gronkowski,8,8,90,11.3,20,2,2,0,0,0,0,1,29.0,29.0,1.3%,FA,1,2021,te
2,Darren Waller,10,19,105,10.5,24,1,1,0,0,0,0,1,26.5,26.5,20.1%,MIA,1,2021,te
3,T.J. Hockenson,8,11,97,12.1,23,2,1,0,0,0,0,1,25.7,25.7,95.6%,MIN,1,2021,te
4,Travis Kelce,6,7,76,12.7,19,0,2,0,0,0,0,1,25.6,25.6,96.2%,KC,1,2021,te
5,Juwan Johnson,3,3,21,7.0,12,0,2,0,0,0,0,1,17.1,17.1,8.9%,NO,1,2021,te
6,Dallas Goedert,4,5,42,10.5,13,0,1,0,0,0,0,1,14.2,14.2,76.9%,PHI,1,2021,te
7,Noah Fant,6,8,62,10.3,25,1,0,0,0,0,0,1,12.2,12.2,6.4%,CIN,1,2021,te
8,Logan Thomas,3,3,30,10.0,12,0,1,0,0,0,0,1,12.0,12.0,0.0%,FA,1,2021,te
9,George Kittle,4,5,78,19.5,35,2,0,0,0,0,0,1,11.8,11.8,99.2%,SF,1,2021,te
10,Tyler Higbee,5,6,68,13.6,37,1,0,0,0,0,0,1,11.8,11.8,8.1%,LAR,1,2021,te
11,James O'Shaughnessy,6,8,48,8.0,22,1,0,0,0,0,0,1,10.8,10.8,0.0%,FA,1,2021,te
12,Pharaoh Brown,4,5,67,16.8,29,2,0,0,0,0,0,1,10.7,10.7,0.1%,MIA,1,2021,te
13,Jared Cook,5,8,56,11.2,23,1,0,0,0,0,0,1,10.6,10.6,0.0%,FA,1,2021,te
14,David Njoku,3,5,76,25.3,43,2,0,0,0,0,0,1,10.6,10.6,90.6%,CLE,1,2021,te
15,Dalton Schultz,6,6,45,7.5,16,0,0,0,0,0,0,1,10.5,10.5,12.1%,HOU,1,2021,te
16,Gerald Everett,2,2,20,10.0,11,0,1,0,0,0,0,1,10.0,10.0,1.4%,FA,1,2021,te
17,Jonnu Smith,5,5,42,8.4,11,0,0,1,6,0,0,1,9.8,9.8,62.9%,PIT,1,2021,te
18,Cole Kmet,5,7,42,8.4,10,0,0,0,0,0,0,1,9.2,9.2,10.3%,CHI,1,2021,te
19,Chris Manhertz,1,1,22,22.0,22,1,1,0,0,0,0,1,9.2,9.2,0.0%,NYG,1,2021,te
20,Albert Okwuegbunam Jr.,3,3,16,5.3,6,0,1,0,0,0,1,1,8.6,8.6,0.0%,LV,1,2021,te
21,Dawson Knox,4,4,41,10.3,13,0,0,0,0,0,0,1,8.1,8.1,2.9%,BUF,1,2021,te
22,Tyler Conklin,4,4,41,10.3,27,1,0,0,0,0,0,1,8.1,8.1,5.7%,LAC,1,2021,te
23,Kyle Pitts Sr.,4,8,31,7.8,18,0,0,0,0,0,0,1,7.1,7.1,63.1%,ATL,1,2021,te
24,Hayden Hurst,4,4,28,7.0,9,0,0,0,0,0,0,1,6.8,6.8,1.3%,FA,1,2021,te
25,Will Dissly,3,3,37,12.3,22,1,0,0,0,0,0,1,6.7,6.7,3.4%,LAC,1,2021,te
26,Hunter Henry,3,3,31,10.3,16,0,0,0,0,0,0,1,6.1,6.1,46.6%,NE,1,2021,te
27,Austin Hooper,3,3,27,9.0,14,0,0,0,0,0,0,1,5.7,5.7,2.4%,NE,1,2021,te
28,Tyler Kroft,3,5,26,8.7,10,0,0,0,0,0,0,1,5.6,5.6,0.0%,FA,1,2021,te
29,C.J. Uzomah,2,2,35,17.5,32,1,0,0,0,0,0,1,5.5,5.5,0.0%,FA,1,2021,te
30,Zach Ertz,2,2,34,17.0,28,1,0,0,0,0,0,1,5.4,5.4,42.6%,WAS,1,2021,te
31,Ryan Griffin,3,6,22,7.3,8,0,0,0,0,0,0,1,5.2,5.2,0.0%,FA,1,2021,te
32,Jack Doyle,3,4,21,7.0,9,0,0,0,0,0,0,1,5.1,5.1,2.0%,FA,1,2021,te
33,Blake Jarwin,3,3,20,6.7,7,0,0,0,0,0,0,1,5.0,5.0,4.0%,FA,1,2021,te
34,Mark Andrews,3,5,20,6.7,10,0,0,0,0,0,0,1,5.0,5.0,94.0%,BAL,1,2021,te
35,Anthony Firkser,3,4,19,6.3,11,0,0,0,0,0,0,1,4.9,4.9,0.0%,FA,1,2021,te
36,Adam Trautman,3,6,18,6.0,8,0,0,0,0,0,0,1,4.8,4.8,0.7%,DEN,1,2021,te
37,Pat Freiermuth,1,1,24,24.0,24,1,0,0,0,0,0,1,3.4,3.4,23.9%,PIT,1,2021,te
38,Eric Ebron,1,2,19,19.0,19,0,0,0,0,0,0,1,2.9,2.9,0.0%,FA,1,2021,te
39,Marcedes Lewis,1,1,19,19.0,19,0,0,0,0,0,0,1,2.9,2.9,0.0%,FA,1,2021,te
40,Robert Tonyan,2,4,8,4.0,5,0,0,0,0,0,0,1,2.8,2.8,0.0%,KC,1,2021,te
41,Kyle Rudolph,2,5,8,4.0,6,0,0,0,0,0,0,1,2.8,2.8,1.0%,FA,1,2021,te
42,Ian Thomas,1,2,17,17.0,17,0,0,0,0,0,0,1,2.7,2.7,0.1%,LV,1,2021,te
43,Harrison Bryant,1,2,17,17.0,17,0,0,0,0,0,0,1,2.7,2.7,0.0%,PHI,1,2021,te
44,Dan Arnold,2,3,6,3.0,5,0,0,0,0,0,0,1,2.6,2.6,0.0%,FA,1,2021,te
45,Jimmy Graham,1,2,11,11.0,11,0,0,0,0,0,0,1,2.1,2.1,0.0%,FA,1,2021,te
46,Durham Smythe,1,2,9,9.0,9,0,0,0,0,0,0,1,1.9,1.9,0.6%,CHI,1,2021,te
47,Eric Saubert,1,2,7,7.0,7,0,0,0,0,0,0,1,1.7,1.7,1.8%,SEA,1,2021,te
48,Blake Bell,1,1,3,3.0,3,0,0,1,2,0,0,1,1.5,1.5,0.0%,FA,1,2021,te
49,Darren Fells,1,1,2,2.0,2,0,0,0,0,0,0,1,1.2,1.2,0.0%,FA,1,2021,te
50,Stephen Anderson,1,2,1,1.0,1,0,0,0,0,0,0,1,1.1,1.1,0.0%,FA,1,2021,te
51,Zach Gentry,1,1,-2,-2.0,0,0,0,0,0,0,0,1,0.8,0.8,0.0%,FA,1,2021,te
52,Tommy Tremble,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.6%,CAR,1,2021,te
53,Dominique Dafney,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,CAR,1,2021,te
54,Jared Pinkney,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,1,2021,te
55,Feleipe Franks,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,ATL,1,2021,te
56,Demetrius Harris,0,3,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,1,2021,te
57,Taysom Hill,0,0,0,0.0,0,0,0,2,1,0,0,1,0.0,0.0,6.7%,NO,1,2021,te
58,Jordan Akins,0,2,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,1.0%,FA,1,2021,te
59,Mike Gesicki,0,3,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,19.3%,CIN,1,2021,te
60,Johnny Mundt,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,JAC,1,2021,te
61,Darrell Daniels,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,1,2021,te
62,Mo Alie-Cox,0,2,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.6%,IND,1,2021,te
63,Josh Oliver,0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,1.1%,MIN,1,2021,te
64,Kaden Smith,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,1,2021,te
65,Donald Parham Jr.,0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,1.0%,PIT,1,2021,te
66,Chris Herndon IV,0,2,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,1,2021,te
67,Geoff Swaim,0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,1,2021,te
68,Maxx Williams,0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,1,2021,te
69,Daniel Brown,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,1,2021,te
70,Eric Tomlinson,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,1,2021,te
71,Andrew DePaola,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,MIN,1,2021,te
1,Travis Kelce,7,8,109,15.6,46,1,1,0,0,0,0,1,23.9,23.9,96.2%,KC,2,2021,te
2,T.J. Hockenson,8,9,66,8.3,20,1,1,0,0,0,0,1,20.6,20.6,95.6%,MIN,2,2021,te
3,Rob Gronkowski,4,5,39,9.8,20,1,2,0,0,0,0,1,19.9,19.9,1.3%,FA,2,2021,te
4,Maxx Williams,7,7,94,13.4,34,2,0,0,0,0,0,1,16.4,16.4,0.0%,FA,2,2021,te
5,Robert Tonyan,3,3,52,17.3,22,1,1,0,0,0,0,1,14.2,14.2,0.0%,KC,2,2021,te
6,Jack Doyle,5,8,64,12.8,34,1,0,0,0,0,0,1,13.4,13.4,2.0%,FA,2,2021,te
7,Noah Fant,4,6,33,8.3,14,0,1,0,0,0,0,1,13.3,13.3,6.4%,CIN,2,2021,te
8,Kyle Pitts Sr.,5,6,73,14.6,24,2,0,0,0,0,0,1,12.3,12.3,63.1%,ATL,2,2021,te
9,Darren Waller,5,7,65,13.0,25,1,0,0,0,0,0,1,11.5,11.5,20.1%,MIA,2,2021,te
10,Foster Moreau,2,3,34,17.0,25,1,1,0,0,0,0,1,11.4,11.4,0.9%,NO,2,2021,te
11,Mark Andrews,5,5,57,11.4,20,1,0,0,0,0,0,1,10.7,10.7,94.0%,BAL,2,2021,te
12,Dawson Knox,2,3,17,8.5,9,0,1,0,0,0,0,1,9.7,9.7,2.9%,BUF,2,2021,te
13,Logan Thomas,5,7,45,9.0,24,1,0,0,0,0,0,1,9.5,9.5,0.0%,FA,2,2021,te
14,Austin Hooper,5,5,40,8.0,13,0,0,0,0,0,0,1,9.0,9.0,2.4%,NE,2,2021,te
15,Harrison Bryant,4,4,49,12.3,29,1,0,0,0,0,0,1,8.9,8.9,0.0%,PHI,2,2021,te
16,Ricky Seals-Jones,1,1,19,19.0,19,0,1,0,0,0,0,1,8.9,8.9,0.0%,FA,2,2021,te
17,Dan Arnold,3,4,55,18.3,19,0,0,0,0,0,0,1,8.5,8.5,0.0%,FA,2,2021,te
18,Pat Freiermuth,4,4,36,9.0,14,0,0,0,0,0,0,1,7.6,7.6,23.9%,PIT,2,2021,te
19,MyCole Pruitt,3,3,43,14.3,22,1,0,0,0,0,0,1,7.3,7.3,1.0%,FA,2,2021,te
20,Mike Gesicki,3,6,41,13.7,18,0,0,0,0,0,0,1,7.1,7.1,19.3%,CIN,2,2021,te
21,Jonnu Smith,4,5,28,7.0,19,0,0,0,0,0,0,1,6.8,6.8,62.9%,PIT,2,2021,te
22,Blake Jarwin,3,4,37,12.3,20,1,0,0,0,0,0,1,6.7,6.7,4.0%,FA,2,2021,te
23,Albert Okwuegbunam Jr.,4,4,24,6.0,14,0,0,0,0,0,0,1,6.4,6.4,0.0%,LV,2,2021,te
24,Hunter Henry,2,4,42,21.0,32,1,0,0,0,0,0,1,6.2,6.2,46.6%,NE,2,2021,te
25,Jared Cook,3,5,28,9.3,12,0,0,0,0,0,0,1,5.8,5.8,0.0%,FA,2,2021,te
26,George Kittle,4,4,17,4.3,8,0,0,0,0,0,0,1,5.7,5.7,99.2%,SF,2,2021,te
