Player,RECEIVING_REC,RECEIVING_YDS,RECEIVING_TDS,MISC_FL,FPTS,Team,Week,Year,Position
Travis Kelce,6.9,88.7,0.8,0.1,20.2,KC,1,2021,te
Darren Waller,6.5,76.0,0.5,0.1,16.8,MIA,1,2021,te
George Kittle,5.5,72.0,0.6,0.0,16.2,SF,1,2021,te
Mark Andrews,4.8,56.2,0.6,0.0,14.2,BAL,1,2021,te
T.J. Hockenson,4.6,50.9,0.3,0.0,11.7,MIN,1,2021,te
Kyle Pitts Sr.,3.8,46.3,0.4,0.0,10.7,ATL,1,2021,te
Mike Gesicki,3.8,45.0,0.3,0.0,10.3,CIN,1,2021,te
Dallas Goedert,3.7,42.7,0.3,0.0,10.0,PHI,1,2021,te
Robert Tonyan,3.2,35.1,0.5,0.0,10.0,KC,1,2021,te
Noah Fant,4.1,45.8,0.2,0.0,9.7,CIN,1,2021,te
Austin Hooper,3.6,38.2,0.2,0.0,8.8,NE,1,2021,te
Tyler Higbee,3.6,38.9,0.2,0.0,8.8,LAR,1,2021,te
Hunter Henry,3.0,34.1,0.2,0.0,7.3,NE,1,2021,te
Jonnu Smith,3.0,32.0,0.2,0.0,7.3,PIT,1,2021,te
Zach Ertz,3.1,34.4,0.1,0.0,7.3,WAS,1,2021,te
Cole Kmet,2.8,26.6,0.1,0.0,6.2,CHI,1,2021,te
Tyler Conklin,2.4,26.3,0.1,0.0,5.8,LAC,1,2021,te
Dawson Knox,2.2,25.6,0.2,0.0,5.6,BUF,1,2021,te
Juwan Johnson,2.3,26.5,0.1,0.0,5.3,NO,1,2021,te
Mo Alie-Cox,1.8,21.0,0.1,0.0,4.4,IND,1,2021,te
Dalton Schultz,1.8,18.8,0.1,0.0,4.2,HOU,1,2021,te
Pharaoh Brown,1.5,16.6,0.1,0.0,4.0,MIA,1,2021,te
David Njoku,1.5,17.6,0.1,0.0,3.9,CLE,1,2021,te
Will Dissly,1.6,16.4,0.1,0.0,3.8,LAC,1,2021,te
Donald Parham Jr.,1.5,17.3,0.1,0.0,3.8,PIT,1,2021,te
Drew Sample,1.7,16.1,0.1,0.0,3.7,CIN,1,2021,te
Albert Okwuegbunam Jr.,1.5,17.0,0.1,0.0,3.7,LV,1,2021,te
Adam Trautman,1.4,16.3,0.1,0.0,3.6,DEN,1,2021,te
Harrison Bryant,1.5,16.1,0.1,0.1,3.6,PHI,1,2021,te
Chris Manhertz,1.2,12.3,0.0,0.0,2.7,NYG,1,2021,te
Durham Smythe,1.2,10.2,0.1,0.0,2.6,CHI,1,2021,te
Pat Freiermuth,1.2,10.6,0.1,0.0,2.5,PIT,1,2021,te
Hunter Long,1.1,11.5,0.0,0.1,2.4,JAC,1,2021,te
Ian Thomas,1.0,8.4,0.1,0.0,2.2,LV,1,2021,te
Luke Farrell,0.9,9.6,0.1,0.0,2.2,SF,1,2021,te
Noah Gray,0.9,9.2,0.1,0.0,2.1,KC,1,2021,te
Ross Dwelley,0.8,8.7,0.1,0.0,2.0,SF,1,2021,te
Foster Moreau,0.6,6.9,0.1,0.0,1.9,NO,1,2021,te
Josh Oliver,0.8,8.1,0.0,0.0,1.8,MIN,1,2021,te
John Bates,0.8,7.5,0.0,0.0,1.8,WAS,1,2021,te
Brevin Jordan,0.8,8.0,0.0,0.0,1.6,HOU,1,2021,te
Reggie Gilliam,0.5,4.0,0.1,0.0,1.5,BUF,1,2021,te
Tommy Tremble,0.6,5.7,0.1,0.0,1.5,CAR,1,2021,te
Kylen Granson,0.6,6.0,0.0,0.0,1.4,PHI,1,2021,te
Jacob Harris,0.5,5.8,0.1,0.0,1.3,TB,1,2021,te
Josiah Deguara,0.5,4.8,0.0,0.0,0.9,ARI,1,2021,te
Colby Parkinson,0.4,4.0,0.0,0.0,0.8,LAR,1,2021,te
Eric Saubert,0.4,3.4,0.0,0.0,0.7,SEA,1,2021,te
Charlie Woerner,0.3,3.9,0.0,0.0,0.7,ATL,1,2021,te
Johnny Mundt,0.3,2.8,0.0,0.0,0.6,JAC,1,2021,te
Dominique Dafney,0.2,1.7,0.0,0.0,0.3,CAR,1,2021,te
Jack Stoll,0.1,1.0,0.0,0.0,0.2,NO,1,2021,te
Andrew Beck,0.1,1.0,0.0,0.0,0.2,NYJ,1,2021,te
Mitchell Wilcox,0.1,1.0,0.0,0.0,0.2,MIA,1,2021,te
Travis Kelce,7.1,89.4,0.8,0.1,20.5,KC,2,2021,te
Darren Waller,6.8,80.3,0.6,0.1,18.2,MIA,2,2021,te
George Kittle,5.4,69.0,0.5,0.1,15.5,SF,2,2021,te
Mark Andrews,4.9,59.1,0.6,0.0,14.4,BAL,2,2021,te
T.J. Hockenson,4.9,57.5,0.5,0.0,13.4,MIN,2,2021,te
Noah Fant,4.6,54.8,0.5,0.0,12.7,CIN,2,2021,te
Tyler Higbee,4.0,44.1,0.4,0.0,10.7,LAR,2,2021,te
Robert Tonyan,3.3,38.4,0.6,0.0,10.5,KC,2,2021,te
Dallas Goedert,3.7,40.5,0.4,0.0,10.4,PHI,2,2021,te
Kyle Pitts Sr.,4.2,45.5,0.2,0.0,10.0,ATL,2,2021,te
Jonnu Smith,3.2,34.2,0.4,0.0,9.1,PIT,2,2021,te
Austin Hooper,3.3,35.7,0.3,0.0,8.5,NE,2,2021,te
Cole Kmet,3.5,36.2,0.2,0.0,8.5,CHI,2,2021,te
Hunter Henry,3.0,34.5,0.2,0.0,7.8,NE,2,2021,te
Mike Gesicki,2.9,34.2,0.2,0.0,7.6,CIN,2,2021,te
Zach Ertz,2.9,30.0,0.2,0.0,6.9,WAS,2,2021,te
Dawson Knox,2.5,29.4,0.2,0.0,6.7,BUF,2,2021,te
Dalton Schultz,2.8,28.6,0.2,0.0,6.7,HOU,2,2021,te
Adam Trautman,2.5,28.2,0.2,0.0,6.4,DEN,2,2021,te
Tyler Conklin,2.7,29.0,0.1,0.0,6.3,LAC,2,2021,te
