Player,RECEIVING_REC_proj,RECEIVING_YDS_proj,RECEIVING_TDS,RUSHING_ATT_proj,RUSHING_YDS_proj,RUSHING_TDS,MISC_FL_proj,FPTS_proj,Team_proj,Week,Year,Position_proj,Unnamed: 0_level_0_Rank,RECEIVING_REC_actual,RECEIVING_TGT,RECEIVING_YDS_actual,RECEIVING_Y/R,RECEIVING_LG,RECEIVING_20+,RECEIVING_TD,RUSHING_ATT_actual,RUSHING_YDS_actual,RUSHING_TD,MISC_FL_actual,MISC_G,FPTS_actual,MISC_FPTS/G,MISC_ROST,Team_actual,Position_actual
Davante Adams,7.5,93.5,0.8,0.0,0.0,0.0,0.1,21.6,LAR,1,2021,WR,53.0,5.0,7.0,56.0,11.2,31.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,10.6,10.6,96.5%,LAR,WR
Tyreek Hill,6.5,93.8,0.8,0.8,4.6,0.0,0.1,21.1,MIA,1,2021,WR,2.0,11.0,15.0,197.0,17.9,75.0,4.0,1.0,1.0,4.0,0.0,0.0,1.0,37.1,37.1,98.3%,MIA,WR
DeAndre Hopkins,7.3,87.6,0.6,0.0,0.2,0.0,0.1,19.8,BAL,1,2021,WR,6.0,6.0,8.0,83.0,13.8,38.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,26.3,26.3,16.5%,BAL,WR
Stefon Diggs,6.6,85.9,0.7,0.1,0.7,0.0,0.1,19.4,NE,1,2021,WR,29.0,9.0,13.0,69.0,7.7,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.9,15.9,83.8%,NE,WR
Calvin Ridley,6.0,89.0,0.7,0.3,1.5,0.0,0.1,19.1,TEN,1,2021,WR,59.0,5.0,8.0,51.0,10.2,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.1,10.1,87.8%,TEN,WR
DK Metcalf,5.4,83.8,0.7,0.0,0.2,0.0,0.0,17.8,PIT,1,2021,WR,27.0,4.0,5.0,60.0,15.0,30.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,16.0,16.0,96.0%,PIT,WR
A.J. Brown,5.3,77.8,0.8,0.1,0.8,0.0,0.0,17.7,PHI,1,2021,WR,33.0,4.0,8.0,49.0,12.3,19.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,14.9,14.9,99.3%,PHI,WR
Justin Jefferson,5.7,86.0,0.5,0.1,0.2,0.0,0.1,17.2,MIN,1,2021,WR,45.0,5.0,9.0,71.0,14.2,34.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,12.5,12.5,99.5%,MIN,WR
Terry McLaurin,5.8,78.3,0.6,0.2,0.8,0.0,0.0,17.0,WAS,1,2021,WR,57.0,4.0,4.0,62.0,15.5,34.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,10.2,10.2,96.8%,WAS,WR
Tyler Lockett,6.0,71.9,0.6,0.1,0.3,0.0,0.0,17.0,TEN,1,2021,WR,7.0,4.0,5.0,100.0,25.0,69.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,26.0,26.0,10.4%,TEN,WR
Keenan Allen,6.5,68.8,0.6,0.2,0.9,0.0,0.1,16.7,LAC,1,2021,WR,20.0,9.0,13.0,100.0,11.1,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19.0,19.0,39.0%,LAC,WR
Adam Thielen,5.3,69.1,0.7,0.2,0.9,0.0,0.0,16.5,CAR,1,2021,WR,4.0,9.0,10.0,92.0,10.2,24.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,30.2,30.2,35.8%,CAR,WR
CeeDee Lamb,5.6,69.9,0.5,0.5,2.8,0.0,0.1,16.1,DAL,1,2021,WR,13.0,7.0,15.0,104.0,14.9,31.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,23.4,23.4,99.4%,DAL,WR
Tee Higgins,5.3,72.1,0.6,0.1,0.8,0.0,0.1,15.9,CIN,1,2021,WR,30.0,4.0,5.0,58.0,14.5,28.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,15.8,15.8,98.3%,CIN,WR
Cooper Kupp,5.6,66.5,0.6,0.2,1.1,0.0,0.1,15.9,SEA,1,2021,WR,10.0,7.0,10.0,108.0,15.4,56.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,23.8,23.8,83.1%,SEA,WR
Mike Evans,4.7,69.0,0.7,0.0,0.0,0.0,0.0,15.6,TB,1,2021,WR,79.0,3.0,6.0,24.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.4,5.4,97.6%,TB,WR
Robert Woods,5.4,61.8,0.5,1.1,6.3,0.0,0.1,15.5,PIT,1,2021,WR,46.0,3.0,4.0,27.0,9.0,19.0,0.0,1.0,1.0,7.0,0.0,0.0,1.0,12.4,12.4,0.9%,PIT,WR
DJ Moore,5.0,71.9,0.5,0.2,1.3,0.0,0.0,15.5,CHI,1,2021,WR,31.0,6.0,8.0,80.0,13.3,27.0,2.0,0.0,1.0,14.0,0.0,0.0,1.0,15.4,15.4,93.8%,CHI,WR
Diontae Johnson,5.9,63.1,0.5,0.2,1.2,0.0,0.1,15.5,CLE,1,2021,WR,34.0,5.0,10.0,36.0,7.2,14.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,14.6,14.6,7.7%,CLE,WR
Chris Godwin,5.1,67.6,0.6,0.0,0.2,0.0,0.0,15.4,TB,1,2021,WR,12.0,9.0,13.0,105.0,11.7,24.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,23.5,23.5,83.2%,TB,WR
Deebo Samuel Sr.,4.7,64.1,0.5,1.0,8.1,0.0,0.1,15.1,WAS,1,2021,WR,3.0,9.0,12.0,189.0,21.0,79.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,31.9,31.9,83.6%,WAS,WR
Laviska Shenault Jr.,4.9,55.8,0.5,1.4,7.5,0.0,0.1,14.5,BUF,1,2021,WR,42.0,7.0,10.0,50.0,7.1,14.0,0.0,0.0,1.0,9.0,0.0,0.0,1.0,12.9,12.9,0.1%,BUF,WR
Robbie Chosen,5.0,61.6,0.5,0.2,1.1,0.0,0.0,14.3,SF,1,2021,WR,43.0,1.0,3.0,57.0,57.0,57.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,12.7,12.7,0.0%,SF,WR
