Player,RECEIVING_REC,RECEIVING_YDS,RECEIVING_TDS,RUSHING_ATT,RUSHING_YDS,RUSHING_TDS,MISC_FL,FPTS,Team,Week,Year,Position
Davante Adams,7.5,93.5,0.8,0.0,0.0,0.0,0.1,21.6,LAR,1,2021,wr
Tyreek Hill,6.5,93.8,0.8,0.8,4.6,0.0,0.1,21.1,MIA,1,2021,wr
DeAndre Hopkins,7.3,87.6,0.6,0.0,0.2,0.0,0.1,19.8,BAL,1,2021,wr
Stefon Diggs,6.6,85.9,0.7,0.1,0.7,0.0,0.1,19.4,NE,1,2021,wr
Calvin Ridley,6.0,89.0,0.7,0.3,1.5,0.0,0.1,19.1,TEN,1,2021,wr
DK Metcalf,5.4,83.8,0.7,0.0,0.2,0.0,0.0,17.8,PIT,1,2021,wr
A.J. Brown,5.3,77.8,0.8,0.1,0.8,0.0,0.0,17.7,PHI,1,2021,wr
Justin Jefferson,5.7,86.0,0.5,0.1,0.2,0.0,0.1,17.2,MIN,1,2021,wr
Terry McLaurin,5.8,78.3,0.6,0.2,0.8,0.0,0.0,17.0,WAS,1,2021,wr
Tyler Lockett,6.0,71.9,0.6,0.1,0.3,0.0,0.0,17.0,TEN,1,2021,wr
Keenan Allen,6.5,68.8,0.6,0.2,0.9,0.0,0.1,16.7,LAC,1,2021,wr
Adam Thielen,5.3,69.1,0.7,0.2,0.9,0.0,0.0,16.5,CAR,1,2021,wr
CeeDee Lamb,5.6,69.9,0.5,0.5,2.8,0.0,0.1,16.1,DAL,1,2021,wr
Tee Higgins,5.3,72.1,0.6,0.1,0.8,0.0,0.1,15.9,CIN,1,2021,wr
Cooper Kupp,5.6,66.5,0.6,0.2,1.1,0.0,0.1,15.9,SEA,1,2021,wr
Mike Evans,4.7,69.0,0.7,0.0,0.0,0.0,0.0,15.6,TB,1,2021,wr
Robert Woods,5.4,61.8,0.5,1.1,6.3,0.0,0.1,15.5,PIT,1,2021,wr
DJ Moore,5.0,71.9,0.5,0.2,1.3,0.0,0.0,15.5,CHI,1,2021,wr
Diontae Johnson,5.9,63.1,0.5,0.2,1.2,0.0,0.1,15.5,CLE,1,2021,wr
Chris Godwin,5.1,67.6,0.6,0.0,0.2,0.0,0.0,15.4,TB,1,2021,wr
Deebo Samuel Sr.,4.7,64.1,0.5,1.0,8.1,0.0,0.1,15.1,WAS,1,2021,wr
Laviska Shenault Jr.,4.9,55.8,0.5,1.4,7.5,0.0,0.1,14.5,BUF,1,2021,wr
Robbie Chosen,5.0,61.6,0.5,0.2,1.1,0.0,0.0,14.3,SF,1,2021,wr
Brandin Cooks,4.9,67.4,0.4,0.1,0.3,0.0,0.0,13.9,NO,1,2021,wr
JuJu Smith-Schuster,5.3,55.8,0.5,0.0,0.0,0.0,0.0,13.9,KC,1,2021,wr
Brandon Aiyuk,4.7,64.6,0.3,0.8,4.7,0.0,0.0,13.5,SF,1,2021,wr
Jakobi Meyers,4.6,59.0,0.4,0.1,0.2,0.0,0.0,12.9,LV,1,2021,wr
Jerry Jeudy,4.6,62.5,0.3,0.0,0.0,0.0,0.0,12.9,CLE,1,2021,wr
Michael Pittman Jr.,4.4,55.3,0.4,0.2,1.2,0.0,0.0,12.7,IND,1,2021,wr
Marquise Brown,4.2,55.2,0.5,0.1,0.9,0.0,0.0,12.6,KC,1,2021,wr
DJ Chark Jr.,4.3,58.1,0.4,0.0,0.3,0.0,0.0,12.5,ATL,1,2021,wr
DeVonta Smith,4.2,59.7,0.4,0.1,0.7,0.0,0.0,12.4,PHI,1,2021,wr
Sterling Shepard,4.9,51.3,0.3,0.3,2.2,0.0,0.0,12.1,TB,1,2021,wr
Marquez Callaway,4.3,56.1,0.3,0.1,0.7,0.0,0.0,11.9,LV,1,2021,wr
